Current [A],Terminal voltage [V]
0.49999999999999994,4.157756526272175
0.587785252292473,4.153234144633456
0.6691306063588581,4.1490145413297705
0.7431448254773941,4.145132539747487
0.8090169943749475,4.14161677338251
0.8660254037844386,4.138490365826252
0.9135454576426009,4.135772242523002
0.9510565162951535,4.133478174096611
0.9781476007338056,4.131621543062902
0.9945218953682733,4.130213831985508
1.0,4.129264990675836
0.9945218953682734,4.128783587319922
0.9781476007338057,4.128776724368226
0.9510565162951536,4.129250026416288
0.913545457642601,4.1302070973660925
0.8660254037844387,4.1316493574851325
0.8090169943749475,4.133575125416378
0.7431448254773945,4.135979072635615
0.6691306063588583,4.138850972848837
0.5877852522924736,4.142174651389141
0.5000000000000003,4.145926513148937
0.40673664307580043,4.150074310648689
0.30901699437494795,4.154576045409696
0.20791169081775973,4.159379600210403
0.10452846326765418,4.164423225144746
5.665498452323003e-16,4.169637311768334
-0.10452846326765305,4.174947130595381
-0.20791169081775862,4.180276513273074
-0.3090169943749469,4.185551344222292
-0.40673664307579943,4.190702883962206
-0.4999999999999994,4.19566955389608
-0.587785252292473,4.2003982170004965
-0.6691306063588579,4.204843630116415
-0.743144825477394,4.208968205567373
-0.8090169943749473,4.212740227153237
-0.8660254037844384,4.216133394617356
-0.9135454576426005,4.219124851566536
-0.9510565162951535,4.221695246438364
-0.9781476007338056,4.223826955361208
-0.9945218953682733,4.225504793828773
-1.0,4.226714445454118
-0.9945218953682734,4.227443725873374
-0.978147600733806,4.227681182983498
-0.9510565162951539,4.227418244562519
-0.9135454576426011,4.226647207237004
-0.866025403784439,4.225362703589948
-0.8090169943749476,4.223563199186542
-0.7431448254773946,4.221251866043143
-0.6691306063588588,4.218436579453965
-0.587785252292474,4.215133236125576
-0.5000000000000004,4.211366502692375
-0.40673664307580093,4.2071715312290445
-0.3090169943749476,4.202595280051782
-0.20791169081776073,4.197697544375425
-0.1045284632676543,4.192548764525139
-1.1330996904646007e-15,4.187229096536255
0.10452846326765293,4.181823562536486
0.2079116908177585,4.17641757639709
0.30901699437494634,4.1710925223226525
0.4067366430757989,4.1659218643189115
0.4999999999999993,4.160969282383529
0.5877852522924721,4.1562878282809566
0.6691306063588578,4.151920650877484
0.743144825477393,4.147902493925419
0.8090169943749468,4.144260768828773
0.8660254037844379,4.141017809907609
0.9135454576426005,4.138191661299986
0.9510565162951535,4.135797284556617
0.9781476007338054,4.133847466031848
0.9945218953682733,4.132353095934832
1.0,4.1313236536208775
0.9945218953682734,4.130767257834197
0.9781476007338058,4.130690653418151
0.9510565162951536,4.131099051767762
0.9135454576426015,4.131995953365242
0.8660254037844392,4.133382408729815
0.8090169943749487,4.135256525704818
0.7431448254773952,4.137612773489115
0.6691306063588589,4.140441247961555
0.5877852522924734,4.143725196376036
0.5000000000000013,4.147440539598915
0.4067366430758011,4.151554983104944
0.30901699437494945,4.1560269781216626
0.20791169081776084,4.160803202844941
0.10452846326765443,4.165820938261308
2.1437387455469636e-15,4.171010148682928
-0.10452846326765193,4.1762961276199615
-0.2079116908177584,4.181601809694865
-0.3090169943749454,4.186852965558083
-0.40673664307579716,4.191980674390252
-0.49999999999999917,4.1969233635102565
-0.5877852522924714,4.201627830918969
-0.669130606358857,4.20604896527858
-0.7431448254773936,4.210148966825029
-0.8090169943749472,4.213896673659764
-0.8660254037844378,4.217265339594545
-0.9135454576425998,4.220232278843264
-0.9510565162951534,4.222778245591857
-0.9781476007338054,4.224885656616812
-0.9945218953682732,4.226539018169404
-1.0,4.227724511636911
-0.9945218953682735,4.228429545583879
-0.9781476007338058,4.228643026217189
-0.9510565162951543,4.228355552480235
-0.9135454576426023,4.227559830732351
-0.8660254037844392,4.226250885608893
-0.8090169943749488,4.224427267215509
-0.7431448254773954,4.222091907172815
-0.6691306063588603,4.219253034406107
-0.5877852522924735,4.215926432876794
-0.5000000000000014,4.21213670487438
-0.4067366430758028,4.207918750184492
-0.30901699437494956,4.203319851011186
-0.20791169081776098,4.19839964622954
-0.10452846326765454,4.193226917996769
-2.2661993809292014e-15,4.187886000986236
